Rank,Term,ResultIndex,Title,URL,Timestamp
1,Epstein,1,Jeffrey Epstein - Wikipedia,https://en.wikipedia.org/wiki/Jeffrey_Epstein,2025-11-13T14:13:16Z
1,Epstein,2,Multi-disciplinary Design and Construction | Epstein,https://www.epsteinglobal.com/,2025-11-13T14:13:16Z
1,Epstein,3,Jeffrey Epstein cultivated celebrity relationships for years. Many ...,https://www.cbsnews.com/news/jeffrey-epstein-celebrity-relationships-documents/,2025-11-13T14:13:16Z
1,Epstein,4,"Indictment, JEFFREY EPSTEIN",https://www.justice.gov/usao-sdny/press-release/file/1180481/dl,2025-11-13T14:13:16Z
1,Epstein,5,Who was Jeffrey Epstein? The disgraced financier with powerful ...,https://www.bbc.com/news/world-us-canada-48913377,2025-11-13T14:13:16Z
1,Epstein,6,Oversight Committee Releases Additional Epstein Estate ...,https://oversight.house.gov/release/oversight-committee-releases-additional-epstein-estate-documents/,2025-11-13T14:13:16Z
1,Epstein,7,Text - H.Res.581 - 119th Congress (2025-2026): Providing for ...,https://www.congress.gov/bill/119th-congress/house-resolution/581/text,2025-11-13T14:13:16Z
1,Epstein,8,Listen To The Jeffrey Epstein Tapes: 'I Was Donald Trump's Closest ...,https://docs.house.gov/meetings/JU/JU08/20250227/117951/HHRG-119-JU08-20250227-SD006-U6.pdf,2025-11-13T14:13:16Z
1,Epstein,9,Jeffrey Epstein | AP News,https://apnews.com/hub/jeffrey-epstein,2025-11-13T14:13:16Z
1,Epstein,10,Harvey Epstein - Assembly District 74 |Assembly Member Directory ...,https://nyassembly.gov/mem/Harvey-Epstein/contact/,2025-11-13T14:13:16Z
1,Epstein,11,Jason I. Epstein - Nelson Mullins,https://www.nelsonmullins.com/professionals/jason-epstein,2025-11-13T14:13:16Z
1,Epstein,12,Harvey Epstein - Assembly District 74 |Assembly Member Directory ...,https://nyassembly.gov/mem/Harvey-Epstein,2025-11-13T14:13:16Z
1,Epstein,13,House Oversight Committee Releases Jeffrey Epstein Email ...,https://oversightdemocrats.house.gov/news/press-releases/house-oversight-committee-releases-jeffrey-epstein-email-correspondence-raising,2025-11-13T14:13:16Z
1,Epstein,14,"Laurence Mark Epstein, MD | Northwell Health",https://www.northwell.edu/find-care/find-a-doctor/dr-laurence-mark-epstein-md-1457318859,2025-11-13T14:13:16Z
1,Epstein,15,Watch Jeffrey Epstein: Filthy Rich | Netflix Official Site,https://www.netflix.com/title/80224905,2025-11-13T14:13:16Z
1,Epstein,16,Richard Epstein - Overview | NYU School of Law,https://its.law.nyu.edu/facultyprofiles/index.cfm?fuseaction=profile.overview&personid=26355,2025-11-13T14:13:16Z
1,Epstein,17,Shira Eve Epstein | The City College of New York,https://www.ccny.cuny.edu/profiles/shira-eve-epstein,2025-11-13T14:13:16Z
1,Epstein,18,Dr. Marc E. Epstein,https://www.cdfa.ca.gov/plant/ppd/staff/mepstein.html,2025-11-13T14:13:16Z
1,Epstein,19,Epstein-Barr viral DNA in tissues of Hodgkin's disease,https://pubmed.ncbi.nlm.nih.gov/2821817/,2025-11-13T14:13:16Z
1,Epstein,20,House Member,https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2022,2025-11-13T14:13:16Z
2,#WorldKindnessDay,1,World Kindness Day - Wikipedia,https://en.wikipedia.org/wiki/World_Kindness_Day,2025-11-13T14:13:20Z
2,#WorldKindnessDay,2,The Random Acts of Kindness Foundation: Welcome to ...,https://www.randomactsofkindness.org/,2025-11-13T14:13:20Z
2,#WorldKindnessDay,3,WORLD KINDNESS DAY | November 13 - National Day Calendar,https://www.nationaldaycalendar.com/international/world-kindness-day-november-13,2025-11-13T14:13:20Z
2,#WorldKindnessDay,4,'Treat people with kindness' - Harry Styles #WorldKindnessDay ...,https://www.instagram.com/p/DQ_OktVjKbo/,2025-11-13T14:13:20Z
2,#WorldKindnessDay,5,Today is World Kindness Day. What an excellent idea ...,https://www.facebook.com/sandraboynton/posts/today-is-world-kindness-day-what-an-excellent-idea-worldkindnessday/695676408586459/,2025-11-13T14:13:20Z
2,#WorldKindnessDay,6,Self-Kindness to Kick off World Kindness Day #WorldKindnessDay,https://patricia-weber.com/self-kindness-to-kick-off-world-kindness-day-worldkindnessday/,2025-11-13T14:13:20Z
2,#WorldKindnessDay,7,"On #WorldKindnessDay, I'm reminded of the profound impact that ...",https://www.facebook.com/larabloomeds/posts/on-worldkindnessday-im-reminded-of-the-profound-impact-that-even-the-smallest-ac/1179766366960150/,2025-11-13T14:13:20Z
2,#WorldKindnessDay,8,World Kindness Day - The Be Kind People Project,https://thebekindpeopleproject.org/world-kindness-day/,2025-11-13T14:13:20Z
2,#WorldKindnessDay,9,"World Kindness Day 2025 | November 13, 2025 | Awareness Days",https://www.awarenessdays.com/awareness-days-calendar/world-kindness-day/,2025-11-13T14:13:20Z
2,#WorldKindnessDay,10,"On #WorldKindnessDay, A Mango Thief Tells How Kindness Saved ...",https://www.npr.org/sections/goatsandsoda/2015/11/13/455776904/on-worldkindnessday-a-onetime-mango-thief-tells-why-kindness-counts,2025-11-13T14:13:20Z
2,#WorldKindnessDay,11,#worldkindnessday #bekind #actsofkindness #mediator | Emma ...,https://www.linkedin.com/posts/emma-jenkings_worldkindnessday-bekind-actsofkindness-activity-7262369860070912000-xIPZ,2025-11-13T14:13:20Z
2,#WorldKindnessDay,12,World Kindness Day 2022: Your Complete Guide | Inspire Kindness,https://inspirekindness.com/blog/world-kindness-day-your-complete-guide,2025-11-13T14:13:20Z
2,#WorldKindnessDay,13,#davidclutterbuck #worldkindnessday #bekind #kindness ...,https://mu.linkedin.com/posts/prof-david-clutterbuck_davidclutterbuck-worldkindnessday-bekind-activity-6997475671362916352-KMyd,2025-11-13T14:13:20Z
2,#WorldKindnessDay,14,#masonchooseskindness #leadership #communityengagement ...,https://www.linkedin.com/posts/philipwilkersoniii_masonchooseskindness-leadership-communityengagement-activity-7389107060359057408-9Cq7,2025-11-13T14:13:20Z
2,#WorldKindnessDay,15,World Kindness Day,https://www.shapeamerica.org/MemberPortal/events/World_Kindness_Day.aspx,2025-11-13T14:13:20Z
2,#WorldKindnessDay,16,Four Seasons Celebrates World Kindness Day with Food at the Heart,https://press.fourseasons.com/news-releases/2024/world-kindness-day/,2025-11-13T14:13:20Z
2,#WorldKindnessDay,17,Share a little love on World Kindness Day ❣️ #WorldKindnessDay,https://x.com/FloatMyBoat__/status/1988866410408235088,2025-11-13T14:13:20Z
2,#WorldKindnessDay,18,World Kindness Day 2022. What is it exactly? How is it observed?,https://nationaltoday.com/world-kindness-day/,2025-11-13T14:13:20Z
